ATM_ID,Date,Day_of_Week,Time_of_Day,Total_Withdrawals,Total_Deposits,Previous_Day_Cash_Level,Location_Type,Holiday_Flag,Special_Event_Flag,Weather_Condition,Nearby_Competitor_ATMs,Cash_Demand_Next_Day
1,2025-01-01,2,3,7278.56,4412.08,10290.0,3,0,0,2,0,7962.62
1,2025-01-02,3,4,11805.77,9249.78,9462.13,3,0,1,1,0,10641.88
1,2025-01-03,4,1,7855.43,5614.58,15347.5,3,0,0,2,0,8614.63
1,2025-01-04,5,1,11279.0,6812.28,10212.06,3,1,0,1,0,12276.52
1,2025-01-05,6,2,5736.39,4491.58,14662.7,3,0,0,1,0,6118.65
1,2025-01-06,0,3,5692.43,3770.56,7457.3,3,0,0,2,0,5769.5
1,2025-01-07,1,1,7907.6,5519.21,7400.16,3,0,0,2,0,8019.01
1,2025-01-08,2,4,9346.56,7931.69,10279.88,3,1,0,1,0,9078.78
1,2025-01-09,3,4,7733.18,6429.22,12150.52,3,0,0,1,0,7074.39
1,2025-01-10,4,3,9563.62,6687.55,10053.14,3,0,0,1,0,8728.83
1,2025-01-11,5,3,8123.98,6612.71,12432.71,3,0,0,2,0,8547.71
1,2025-01-12,6,2,8365.3,6092.13,10561.18,3,0,0,3,0,7571.3
1,2025-01-13,0,1,6997.64,4721.92,10874.89,3,0,0,1,0,6872.22
1,2025-01-14,1,3,3878.65,2514.78,9096.93,3,0,0,3,0,4211.98
1,2025-01-15,2,1,6343.88,4484.42,5042.24,3,0,0,2,0,6860.05
1,2025-01-16,3,1,7986.18,4808.36,8247.04,3,0,0,1,0,8003.34
1,2025-01-17,4,1,8911.4,6733.79,10382.03,3,0,0,2,0,9273.24
1,2025-01-18,5,1,11275.71,9174.83,11584.83,3,1,0,2,0,10482.09
1,2025-01-19,6,4,8941.35,7066.4,14658.42,3,1,0,2,0,9264.5
1,2025-01-20,0,1,6733.75,5578.82,11623.76,3,0,0,3,0,6380.42
1,2025-01-21,1,3,7740.29,6583.82,8753.88,3,0,0,2,0,7462.84
1,2025-01-22,2,2,10145.68,8251.94,10062.37,3,0,0,3,0,10773.7
1,2025-01-23,3,4,7502.02,6021.92,13189.39,3,0,0,1,0,7854.94
1,2025-01-24,4,2,4527.45,2954.1,9752.63,3,0,0,3,0,4964.05
1,2025-01-25,5,4,6071.94,4965.55,5885.69,3,0,0,2,0,6554.18
1,2025-01-26,6,4,8646.09,7224.69,7893.52,3,0,0,3,0,8938.31
1,2025-01-27,0,2,9389.51,8434.95,11239.92,3,1,0,3,0,8780.93
1,2025-01-28,1,4,3958.14,2740.69,12206.37,3,0,0,3,0,3991.82
1,2025-01-29,2,3,7333.84,6393.86,5145.59,3,0,0,2,0,7237.61
1,2025-01-30,3,1,6948.92,5675.43,9533.99,3,0,0,1,0,6644.24
1,2025-01-31,4,3,12161.8,10812.89,9033.6,3,0,1,2,0,13020.45
1,2025-02-01,5,3,9342.51,6080.55,15810.34,3,0,0,1,0,9448.64
1,2025-02-02,6,3,7206.43,4626.71,12145.26,3,0,0,2,0,7232.85
1,2025-02-03,0,2,5646.59,3996.93,9368.36,3,0,0,1,0,5413.49
1,2025-02-04,1,3,5085.1,3656.37,7340.57,3,0,0,1,0,4628.22
1,2025-02-05,2,3,7602.49,6094.22,6610.63,3,0,0,2,0,7341.2
1,2025-02-06,3,2,6240.86,4312.31,9883.24,3,0,0,2,0,6287.14
1,2025-02-07,4,1,9125.47,7780.44,8113.11,3,0,0,1,0,8567.68
1,2025-02-08,5,2,8071.21,6644.32,11863.11,3,0,0,1,0,7669.04
1,2025-02-09,6,2,6130.67,3785.43,10492.57,3,0,0,1,0,6639.78
1,2025-02-10,0,3,4968.67,4081.12,7969.88,3,0,0,1,0,5022.69
1,2025-02-11,1,2,11666.79,9652.57,6459.28,3,0,1,2,0,10533.7
1,2025-02-12,2,2,7525.73,4736.32,15166.83,3,0,0,2,0,7513.11
1,2025-02-13,3,3,8021.95,6295.27,9783.45,3,0,0,1,0,8238.69
1,2025-02-14,4,2,14092.75,9144.51,10428.54,3,0,1,3,0,12882.37
1,2025-02-15,5,3,8247.35,6623.86,18320.57,3,0,0,3,0,8368.37
1,2025-02-16,6,1,8565.53,5670.42,10721.55,3,0,0,1,0,8178.3
1,2025-02-17,0,4,10960.34,7682.83,11135.18,3,0,1,3,0,11301.69
1,2025-02-18,1,1,10247.37,7219.28,14248.44,3,0,1,2,0,11142.27
1,2025-02-19,2,4,4285.36,3115.64,13321.58,3,0,0,1,0,4344.09
1,2025-02-20,3,3,7598.21,5839.68,5570.97,3,0,0,2,0,7200.97
1,2025-02-21,4,3,5940.82,4516.8,9877.68,3,0,0,1,0,5936.74
1,2025-02-22,5,1,7615.06,6115.13,7723.07,3,0,0,1,0,7588.44
1,2025-02-23,6,2,8336.04,6386.33,9899.58,3,0,0,3,0,7857.09
1,2025-02-24,0,1,7346.78,6543.01,10836.85,3,0,0,1,0,7623.06
1,2025-02-25,1,2,9372.94,6249.62,9550.81,3,0,0,3,0,9179.2
1,2025-02-26,2,3,7528.26,6505.23,12184.82,3,0,0,1,0,7131.8
1,2025-02-27,3,3,4667.37,3474.85,9786.74,3,0,0,2,0,4553.47
1,2025-02-28,4,3,5852.3,4514.71,6067.57,3,0,0,3,0,6134.36
1,2025-03-01,5,4,7598.73,5100.67,7608.0,3,0,0,1,0,7447.1
1,2025-03-02,6,4,8898.22,6823.17,9878.35,3,0,0,2,0,8582.67
1,2025-03-03,0,4,6430.48,5199.84,11567.69,3,0,0,1,0,5884.45
1,2025-03-04,1,3,9015.13,8001.93,8359.62,3,0,0,3,0,8217.95
1,2025-03-05,2,2,5807.45,4292.34,11719.67,3,0,0,2,0,5637.12
1,2025-03-06,3,2,7372.63,6223.52,7549.69,3,0,0,3,0,7645.03
1,2025-03-07,4,1,11046.26,9032.7,9584.42,3,0,0,2,0,11296.82
1,2025-03-08,5,2,10001.16,6452.0,14360.13,3,0,0,3,0,10189.44
1,2025-03-09,6,3,6156.24,4559.36,13001.51,3,0,0,1,0,6051.36
1,2025-03-10,0,1,12062.29,9354.85,8003.11,3,1,0,1,0,12607.8
1,2025-03-11,1,2,7197.85,4861.67,15680.98,3,0,0,2,0,6873.56
1,2025-03-12,2,4,5618.16,4247.85,9357.21,3,0,0,2,0,5924.15
1,2025-03-13,3,3,6404.2,5363.81,7303.61,3,0,0,1,0,6519.42
1,2025-03-14,4,3,13249.23,10403.02,8325.46,3,1,0,1,0,14522.39
1,2025-03-15,5,2,9019.82,7377.48,17224.01,3,0,0,3,0,9105.41
1,2025-03-16,6,1,9718.86,7170.61,11725.76,3,0,0,3,0,10383.81
1,2025-03-17,0,1,7201.4,5071.4,12634.52,3,0,0,2,0,6782.47
1,2025-03-18,1,3,10372.96,8394.84,9361.82,3,0,0,1,0,9709.23
1,2025-03-19,2,4,5207.22,4644.49,13484.85,3,0,0,3,0,5313.38
1,2025-03-20,3,3,9443.45,6698.06,6769.38,3,1,0,2,0,9449.91
1,2025-03-21,4,1,6679.14,4171.31,12276.49,3,0,0,3,0,7178.17
1,2025-03-22,5,3,12620.26,9603.73,8682.88,3,0,1,1,0,13690.56
1,2025-03-23,6,2,5697.15,3480.99,16406.34,3,0,0,2,0,5415.07
1,2025-03-24,0,3,5401.6,4104.05,7406.3,3,0,0,3,0,5123.38
1,2025-03-25,1,1,6979.22,4630.26,7022.08,3,0,0,3,0,6738.44
1,2025-03-26,2,4,8443.0,5285.96,9072.99,3,0,0,1,0,8505.65
1,2025-03-27,3,2,7840.45,5497.99,10975.9,3,0,0,3,0,8467.13
1,2025-03-28,4,4,22442.17,14982.39,10192.59,3,0,0,1,0,21837.83
1,2025-03-29,5,4,7940.62,4896.95,29174.82,3,0,0,2,0,8484.26
1,2025-03-30,6,3,7120.95,4283.89,10322.81,3,0,0,3,0,7797.54
1,2025-03-31,0,2,8221.81,6252.78,9257.23,3,0,0,1,0,8183.36
1,2025-04-01,1,1,5495.46,4170.79,10688.35,3,0,0,2,0,5723.23
1,2025-04-02,2,2,7817.94,5442.79,7144.1,3,0,0,3,0,7964.73
1,2025-04-03,3,2,4759.68,2981.27,10163.32,3,0,0,3,0,4415.86
1,2025-04-04,4,1,8576.49,6043.52,6187.58,3,0,0,2,0,9313.26
1,2025-04-05,5,2,8486.59,5261.25,11149.44,3,0,0,1,0,8895.85
1,2025-04-06,6,2,9738.09,6431.89,11032.57,3,1,0,3,0,9083.02
1,2025-04-07,0,1,3547.84,2546.4,12659.52,3,0,0,2,0,3772.49
1,2025-04-08,1,3,7401.17,6100.66,4612.19,3,0,0,1,0,7405.19
1,2025-04-09,2,1,8198.62,5206.69,9621.52,3,0,0,2,0,8919.82
1,2025-04-10,3,3,7003.43,5242.96,10658.2,3,0,0,3,0,7341.64
1,2025-04-11,4,3,9687.12,6406.7,9104.46,3,0,0,1,0,10101.85
1,2025-04-12,5,1,9313.16,6646.3,12593.25,3,0,0,2,0,9233.07
1,2025-04-13,6,4,3000.6,1811.35,12107.11,3,0,0,1,0,3059.68
1,2025-04-14,0,4,6281.69,5576.4,3900.78,3,0,0,1,0,6083.85
1,2025-04-15,1,2,8002.88,5043.72,8166.2,3,0,0,2,0,7612.36
1,2025-04-16,2,4,7178.98,5830.57,10403.74,3,0,0,1,0,6680.1
